Date,Open,High,Low,Close,Adj Close,Volume,,R = ln(P(t+T)/P(t)),,<R>=sum(R)/N,,r = (R-<R>)/delta,,r>0,r<0,log-bin,Bins,bin,"Freq,r>0",CDF,Tail,,data for plotting postive part,,,"|r|,r<0",bin,"Freq,r<0",CDF,Tail,,data for plotting negative part,
1987/1/2,2540.100098,2540.100098,2540.100098,2540.100098,2540.100098,0,,0.004830566,,0.00026485,,0.279530135,,0.000375678,-0.000342459,-3.5,0.000316228,0.000316228,0,0.00%,100.00%,,0.000316228,100.00%,,0.000342459,0.000316228,0,0.00%,100.00%,,0.000316228,100.00%
1987/1/5,2552.399902,2552.399902,2552.399902,2552.399902,2552.399902,0,,0.012265793,,delta = <R^2> - <R>^2,,0.73475742,,0.000478967,-0.000451048,-3.3,0.000501187,0.000501187,2,0.05%,99.95%,,0.000501187,99.95%,,0.000451048,0.000501187,2,0.05%,99.95%,,0.000501187,99.95%
1987/1/6,2583.899902,2583.899902,2583.899902,2583.899902,2583.899902,0,,0.008938683,,0.016333294,,0.531052625,,0.000536037,-0.0005082,-3.1,0.000794328,0.000794328,2,0.09%,99.91%,,0.000794328,99.91%,,0.0005082,0.000794328,1,0.07%,99.93%,,0.000794328,99.93%
1987/1/7,2607.100098,2607.100098,2607.100098,2607.100098,2607.100098,0,,-0.00145864,,,,-0.105531148,,0.000699338,-0.000950857,-2.9,0.001258925,0.001258925,3,0.16%,99.84%,,0.001258925,99.84%,,0.000950857,0.001258925,1,0.10%,99.90%,,0.001258925,99.90%
1987/1/8,2603.300049,2603.300049,2603.300049,2603.300049,2603.300049,0,,-0.016108808,,,,-1.002498522,,0.000925014,-0.001654304,-2.7,0.001995262,0.001995262,10,0.39%,99.61%,,0.001995262,99.61%,,0.001654304,0.001995262,2,0.14%,99.86%,,0.001995262,99.86%
1987/1/9,2561.699951,2561.699951,2561.699951,2561.699951,2561.699951,0,,0.020554737,,,,1.242254143,,0.001008551,-0.001660613,-2.5,0.003162278,0.003162278,5,0.50%,99.50%,,0.003162278,99.50%,,0.001660613,0.003162278,8,0.33%,99.67%,,0.003162278,99.67%
1987/1/12,2614.899902,2614.899902,2614.899902,2614.899902,2614.899902,0,,-0.009259091,,,,-0.583119522,,0.001031695,-0.002056987,-2.3,0.005011872,0.005011872,9,0.70%,99.30%,,0.005011872,99.30%,,0.002056987,0.005011872,8,0.53%,99.47%,,0.005011872,99.47%
1987/1/13,2590.800049,2590.800049,2590.800049,2590.800049,2590.800049,0,,-0.004875265,,,,-0.314716538,,0.001271642,-0.002219992,-2.1,0.007943282,0.007943282,15,1.04%,98.96%,,0.007943282,98.96%,,0.002219992,0.007943282,12,0.81%,99.19%,,0.007943282,99.19%
1987/1/14,2578.199951,2578.199951,2578.199951,2578.199951,2578.199951,0,,-0.00743579,,,,-0.471486533,,0.001312512,-0.002249657,-1.9,0.012589254,0.012589254,19,1.47%,98.53%,,0.012589254,98.53%,,0.002249657,0.012589254,18,1.24%,98.76%,,0.012589254,98.76%
1987/1/15,2559.100098,2559.100098,2559.100098,2559.100098,2559.100098,0,,-0.006468454,,,,-0.412260723,,0.001468381,-0.002400888,-1.7,0.019952623,0.019952623,44,2.47%,97.53%,,0.019952623,97.53%,,0.002400888,0.019952623,45,2.32%,97.68%,,0.019952623,97.68%
1987/1/16,2542.600098,2542.600098,2542.600098,2542.600098,2542.600098,0,,-0.032822637,,,,-2.025815022,,0.001478788,-0.002430399,-1.5,0.031622777,0.031622777,59,3.81%,96.19%,,0.031622777,96.19%,,0.002430399,0.031622777,67,3.92%,96.08%,,0.031622777,96.08%
1987/1/19,2460.5,2460.5,2460.5,2460.5,2460.5,0,,-0.004317414,,,,-0.280561681,,0.001499414,-0.002452939,-1.3,0.050118723,0.050118723,118,6.48%,93.52%,,0.050118723,93.52%,,0.002452939,0.050118723,94,6.16%,93.84%,,0.050118723,93.84%
1987/1/20,2449.899902,2449.899902,2449.899902,2449.899902,2449.899902,0,,0.033712412,,,,2.047842512,,0.001544054,-0.002664702,-1.1,0.079432823,0.079432823,196,10.92%,89.08%,,0.079432823,89.08%,,0.002664702,0.079432823,174,10.32%,89.68%,,0.079432823,89.68%
1987/1/21,2533.899902,2533.899902,2533.899902,2533.899902,2533.899902,0,,0.001183245,,,,0.056220255,,0.001545879,-0.002849369,-0.9,0.125892541,0.125892541,247,16.52%,83.48%,,0.125892541,83.48%,,0.002849369,0.125892541,272,16.82%,83.18%,,0.125892541,83.18%
1987/1/22,2536.899902,2536.899902,2536.899902,2536.899902,2536.899902,0,,-0.014892161,,,,-0.928008371,,0.001708117,-0.003357618,-0.7,0.199526231,0.199526231,392,25.40%,74.60%,,0.199526231,74.60%,,0.003357618,0.199526231,380,25.90%,74.10%,,0.199526231,74.10%
1987/1/23,2499.399902,2499.399902,2499.399902,2499.399902,2499.399902,0,,-0.006019522,,,,-0.384774481,,0.001811927,-0.003679952,-0.5,0.316227766,0.316227766,565,38.21%,61.79%,,0.316227766,61.79%,,0.003679952,0.316227766,549,39.02%,60.98%,,0.316227766,60.98%
1987/1/26,2484.399902,2484.399902,2484.399902,2484.399902,2484.399902,0,,0.015813802,,,,0.951986924,,0.00183148,-0.004275582,-0.3,0.501187234,0.501187234,679,53.59%,46.41%,,0.501187234,46.41%,,0.004275582,0.501187234,666,54.93%,45.07%,,0.501187234,45.07%
1987/1/27,2524,2524,2524,2524,2524,0,,0.011541715,,,,0.690425193,,0.002016126,-0.004319872,-0.1,0.794328235,0.794328235,827,72.33%,27.67%,,0.794328235,27.67%,,0.004319872,0.794328235,675,71.06%,28.94%,,0.794328235,28.94%
1987/1/28,2553.300049,2553.300049,2553.300049,2553.300049,2553.300049,0,,0.012416196,,,,0.743965964,,0.002122371,-0.004449642,0.1,1.258925412,1.258925412,691,87.99%,12.01%,,1.258925412,12.01%,,0.004449642,1.258925412,620,85.88%,14.12%,,1.258925412,14.12%
1987/2/2,2585.199951,2585.199951,2585.199951,2585.199951,2585.199951,0,,0.008167066,,,,0.483809821,,0.002164805,-0.00455493,0.3,1.995262315,1.995262315,364,96.24%,3.76%,,1.995262315,3.76%,,0.00455493,1.995262315,388,95.15%,4.85%,,1.995262315,4.85%
